base_year_month,time_range,sex,age_range,user_count
201906,기타,여성,20대 이하,40388
201906,기타,여성,30대,51665
201906,기타,여성,40대,55401
201906,기타,여성,50대,39889
201906,기타,여성,60대,10410
201906,기타,여성,70대 이상,1741
201907,09~12,남성,20대 이하,49674
201907,09~12,남성,30대,172497
201907,09~12,남성,40대,212744
201907,09~12,남성,50대,113386
201907,09~12,남성,60대,36970
201907,09~12,남성,70대 이상,8101
201907,09~12,여성,20대 이하,76876
201907,09~12,여성,30대,174683
201907,09~12,여성,40대,179723
201907,09~12,여성,50대,95201
201907,09~12,여성,60대,28182
201907,09~12,여성,70대 이상,5969
201907,12~15,남성,20대 이하,120181
201907,12~15,남성,30대,400360
201907,12~15,남성,40대,516027
201907,12~15,남성,50대,298815
201907,12~15,남성,60대,110776
201907,12~15,남성,70대 이상,29028
201907,12~15,여성,20대 이하,185045
201907,12~15,여성,30대,392318
201907,12~15,여성,40대,433239
201907,12~15,여성,50대,251565
201907,12~15,여성,60대,80774
201907,12~15,여성,70대 이상,17094
201907,15~18,남성,20대 이하,77883
201907,15~18,남성,30대,233518
201907,15~18,남성,40대,267558
201907,15~18,남성,50대,134732
201907,15~18,남성,60대,42639
201907,15~18,남성,70대 이상,9669
201907,15~18,여성,20대 이하,131865
201907,15~18,여성,30대,247211
201907,15~18,여성,40대,271657
201907,15~18,여성,50대,145323
201907,15~18,여성,60대,43368
201907,15~18,여성,70대 이상,8531
201907,18~21,남성,20대 이하,122099
201907,18~21,남성,30대,352608
201907,18~21,남성,40대,452754
201907,18~21,남성,50대,265045
201907,18~21,남성,60대,83397
201907,18~21,남성,70대 이상,17736
201907,18~21,여성,20대 이하,163208
201907,18~21,여성,30대,304825
201907,18~21,여성,40대,356678
201907,18~21,여성,50대,204114
201907,18~21,여성,60대,59355
201907,18~21,여성,70대 이상,11750
201907,21~24,남성,20대 이하,74161
201907,21~24,남성,30대,181492
201907,21~24,남성,40대,210729
201907,21~24,남성,50대,123377
201907,21~24,남성,60대,29062
201907,21~24,남성,70대 이상,4578
201907,21~24,여성,20대 이하,85273
201907,21~24,여성,30대,111337
201907,21~24,여성,40대,131229
201907,21~24,여성,50대,79039
201907,21~24,여성,60대,18729
201907,21~24,여성,70대 이상,3681
201907,기타,남성,20대 이하,44670
201907,기타,남성,30대,90903
201907,기타,남성,40대,100418
201907,기타,남성,50대,63376
201907,기타,남성,60대,18133
201907,기타,남성,70대 이상,2909
201907,기타,여성,20대 이하,39385
201907,기타,여성,30대,49731
201907,기타,여성,40대,56457
201907,기타,여성,50대,35969
201907,기타,여성,60대,10649
201907,기타,여성,70대 이상,2067
201908,09~12,남성,20대 이하,60806
201908,09~12,남성,30대,205478
201908,09~12,남성,40대,246476
201908,09~12,남성,50대,128621
201908,09~12,남성,60대,38598
201908,09~12,남성,70대 이상,8740
201908,09~12,여성,20대 이하,90557
201908,09~12,여성,30대,198219
201908,09~12,여성,40대,207071
201908,09~12,여성,50대,105356
201908,09~12,여성,60대,33008
201908,09~12,여성,70대 이상,7050
201908,12~15,남성,20대 이하,144256
201908,12~15,남성,30대,457567
201908,12~15,남성,40대,579502
201908,12~15,남성,50대,319218
201908,12~15,남성,60대,113576
201908,12~15,남성,70대 이상,29810
201908,12~15,여성,20대 이하,211941
201908,12~15,여성,30대,427774
201908,12~15,여성,40대,481508
201908,12~15,여성,50대,269416
201908,12~15,여성,60대,82594
201908,12~15,여성,70대 이상,17651
201908,15~18,남성,20대 이하,91668
201908,15~18,남성,30대,264298
201908,15~18,남성,40대,309177
201908,15~18,남성,50대,148489
201908,15~18,남성,60대,44974
201908,15~18,남성,70대 이상,9749
201908,15~18,여성,20대 이하,151595
201908,15~18,여성,30대,273951
201908,15~18,여성,40대,300242
201908,15~18,여성,50대,155934
201908,15~18,여성,60대,45231
201908,15~18,여성,70대 이상,8737
201908,18~21,남성,20대 이하,138687
201908,18~21,남성,30대,410531
201908,18~21,남성,40대,512861
201908,18~21,남성,50대,282325
201908,18~21,남성,60대,93669
201908,18~21,남성,70대 이상,18761
201908,18~21,여성,20대 이하,191461
201908,18~21,여성,30대,339268
201908,18~21,여성,40대,397524
201908,18~21,여성,50대,221000
201908,18~21,여성,60대,65410
201908,18~21,여성,70대 이상,12228
201908,21~24,남성,20대 이하,89297
201908,21~24,남성,30대,209500
201908,21~24,남성,40대,234798
201908,21~24,남성,50대,132053
201908,21~24,남성,60대,31025
201908,21~24,남성,70대 이상,3830
201908,21~24,여성,20대 이하,97845
201908,21~24,여성,30대,129385
201908,21~24,여성,40대,144833
201908,21~24,여성,50대,85283
201908,21~24,여성,60대,20298
201908,21~24,여성,70대 이상,4008
201908,기타,남성,20대 이하,50248
201908,기타,남성,30대,101085
201908,기타,남성,40대,108601
201908,기타,남성,50대,68913
201908,기타,남성,60대,21119
201908,기타,남성,70대 이상,2718
201908,기타,여성,20대 이하,46676
201908,기타,여성,30대,56056
201908,기타,여성,40대,62207
201908,기타,여성,50대,40029
201908,기타,여성,60대,11710
201908,기타,여성,70대 이상,1912
201909,09~12,남성,20대 이하,48954
201909,09~12,남성,30대,164406
201909,09~12,남성,40대,176437
201909,09~12,남성,50대,96404
201909,09~12,남성,60대,33685
201909,09~12,남성,70대 이상,7150
201909,09~12,여성,20대 이하,74843
201909,09~12,여성,30대,159016
201909,09~12,여성,40대,144549
201909,09~12,여성,50대,87227
201909,09~12,여성,60대,28362
201909,09~12,여성,70대 이상,5571
201909,12~15,남성,20대 이하,112828
201909,12~15,남성,30대,367762
201909,12~15,남성,40대,419115
201909,12~15,남성,50대,248592
201909,12~15,남성,60대,92333
201909,12~15,남성,70대 이상,25027
201909,12~15,여성,20대 이하,178941
201909,12~15,여성,30대,336862
201909,12~15,여성,40대,340433
201909,12~15,여성,50대,213759
201909,12~15,여성,60대,74370
201909,12~15,여성,70대 이상,15459
201909,15~18,남성,20대 이하,75765
201909,15~18,남성,30대,216991
201909,15~18,남성,40대,217690
201909,15~18,남성,50대,110212
201909,15~18,남성,60대,40106
201909,15~18,남성,70대 이상,8685
201909,15~18,여성,20대 이하,128846
201909,15~18,여성,30대,219776
201909,15~18,여성,40대,218982
201909,15~18,여성,50대,124091
201909,15~18,여성,60대,41184
201909,15~18,여성,70대 이상,7981
201909,18~21,남성,20대 이하,108916
201909,18~21,남성,30대,318303
201909,18~21,남성,40대,365158
201909,18~21,남성,50대,216868
201909,18~21,남성,60대,77972
201909,18~21,남성,70대 이상,14280
201909,18~21,여성,20대 이하,158598
201909,18~21,여성,30대,259593
201909,18~21,여성,40대,280852
201909,18~21,여성,50대,175592
201909,18~21,여성,60대,54216
201909,18~21,여성,70대 이상,8939
